city,initiative,potential_score,rank_within_city
Boulder,bus rapid transit and cycling priority,0.1212,1
Boulder,affordable housing near job centers,0.1109,2
Boulder,green stormwater and heat refuges,0.1074,3
Boulder,mixed-use infill zoning,0.1051,4
Boulder,brownfield redevelopment,0.0984,5
Boulder,participatory capital budget,0.0976,6
Freiburg im Breisgau,bus rapid transit and cycling priority,0.123,1
Freiburg im Breisgau,affordable housing near job centers,0.1127,2
Freiburg im Breisgau,green stormwater and heat refuges,0.1092,3
Freiburg im Breisgau,mixed-use infill zoning,0.1069,4
Freiburg im Breisgau,brownfield redevelopment,0.1002,5
Freiburg im Breisgau,participatory capital budget,0.0994,6
