city,initiative,economic_gain,equity_gain,environment_gain,metric_gain,implementation_basis
Boulder,mixed-use infill zoning,0.18,0.11,0.08,0.1051,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Boulder,bus rapid transit and cycling priority,0.14,0.16,0.12,0.1212,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Boulder,affordable housing near job centers,0.1,0.22,0.07,0.1109,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Boulder,green stormwater and heat refuges,0.08,0.1,0.2,0.1074,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Boulder,brownfield redevelopment,0.17,0.08,0.1,0.0984,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Boulder,participatory capital budget,0.09,0.2,0.06,0.0976,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Freiburg im Breisgau,mixed-use infill zoning,0.18,0.11,0.08,0.1069,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Freiburg im Breisgau,bus rapid transit and cycling priority,0.14,0.16,0.12,0.123,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Freiburg im Breisgau,affordable housing near job centers,0.1,0.22,0.07,0.1127,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Freiburg im Breisgau,green stormwater and heat refuges,0.08,0.1,0.2,0.1092,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Freiburg im Breisgau,brownfield redevelopment,0.17,0.08,0.1,0.1002,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
Freiburg im Breisgau,participatory capital budget,0.09,0.2,0.06,0.0994,"geography, growth rate, economic opportunity, and the official three-E smart-growth objective"
