problem_id,year,code,question_index,question_label,method,solution_path,result_path,report_path,artifact_dir
2010-A,2010,A,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2010/A/q01/solution.py,cumcm/generic_baselines/results/2010/A/q01/result.json,cumcm/generic_baselines/reports/2010/A/q01/report.md,cumcm/generic_baselines/artifacts/2010/A/q01
2010-A,2010,A,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2010/A/q02/solution.py,cumcm/generic_baselines/results/2010/A/q02/result.json,cumcm/generic_baselines/reports/2010/A/q02/report.md,cumcm/generic_baselines/artifacts/2010/A/q02
2010-B,2010,B,1,问题 1,linear_trend_forecast,cumcm/generic_baselines/solutions/2010/B/q01/solution.py,cumcm/generic_baselines/results/2010/B/q01/result.json,cumcm/generic_baselines/reports/2010/B/q01/report.md,cumcm/generic_baselines/artifacts/2010/B/q01
2010-C,2010,C,1,问题 1,linear_programming,cumcm/generic_baselines/solutions/2010/C/q01/solution.py,cumcm/generic_baselines/results/2010/C/q01/result.json,cumcm/generic_baselines/reports/2010/C/q01/report.md,cumcm/generic_baselines/artifacts/2010/C/q01
2010-C,2010,C,2,问题 2,linear_programming,cumcm/generic_baselines/solutions/2010/C/q02/solution.py,cumcm/generic_baselines/results/2010/C/q02/result.json,cumcm/generic_baselines/reports/2010/C/q02/report.md,cumcm/generic_baselines/artifacts/2010/C/q02
2010-C,2010,C,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2010/C/q03/solution.py,cumcm/generic_baselines/results/2010/C/q03/result.json,cumcm/generic_baselines/reports/2010/C/q03/report.md,cumcm/generic_baselines/artifacts/2010/C/q03
2010-D,2010,D,1,问题 1,std_weight_topsis,cumcm/generic_baselines/solutions/2010/D/q01/solution.py,cumcm/generic_baselines/results/2010/D/q01/result.json,cumcm/generic_baselines/reports/2010/D/q01/report.md,cumcm/generic_baselines/artifacts/2010/D/q01
2011-A,2011,A,1,问题 1,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2011/A/q01/solution.py,cumcm/generic_baselines/results/2011/A/q01/result.json,cumcm/generic_baselines/reports/2011/A/q01/report.md,cumcm/generic_baselines/artifacts/2011/A/q01
2011-A,2011,A,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/A/q02/solution.py,cumcm/generic_baselines/results/2011/A/q02/result.json,cumcm/generic_baselines/reports/2011/A/q02/report.md,cumcm/generic_baselines/artifacts/2011/A/q02
2011-A,2011,A,3,问题 3,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/A/q03/solution.py,cumcm/generic_baselines/results/2011/A/q03/result.json,cumcm/generic_baselines/reports/2011/A/q03/report.md,cumcm/generic_baselines/artifacts/2011/A/q03
2011-A,2011,A,4,问题 4,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/A/q04/solution.py,cumcm/generic_baselines/results/2011/A/q04/result.json,cumcm/generic_baselines/reports/2011/A/q04/report.md,cumcm/generic_baselines/artifacts/2011/A/q04
2011-B,2011,B,1,问题 1,dijkstra_shortest_path,cumcm/generic_baselines/solutions/2011/B/q01/solution.py,cumcm/generic_baselines/results/2011/B/q01/result.json,cumcm/generic_baselines/reports/2011/B/q01/report.md,cumcm/generic_baselines/artifacts/2011/B/q01
2011-B,2011,B,2,问题 2,dijkstra_shortest_path,cumcm/generic_baselines/solutions/2011/B/q02/solution.py,cumcm/generic_baselines/results/2011/B/q02/result.json,cumcm/generic_baselines/reports/2011/B/q02/report.md,cumcm/generic_baselines/artifacts/2011/B/q02
2011-C,2011,C,1,问题一,linear_trend_forecast,cumcm/generic_baselines/solutions/2011/C/q01/solution.py,cumcm/generic_baselines/results/2011/C/q01/result.json,cumcm/generic_baselines/reports/2011/C/q01/report.md,cumcm/generic_baselines/artifacts/2011/C/q01
2011-C,2011,C,2,问题二,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/C/q02/solution.py,cumcm/generic_baselines/results/2011/C/q02/result.json,cumcm/generic_baselines/reports/2011/C/q02/report.md,cumcm/generic_baselines/artifacts/2011/C/q02
2011-C,2011,C,3,问题三,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/C/q03/solution.py,cumcm/generic_baselines/results/2011/C/q03/result.json,cumcm/generic_baselines/reports/2011/C/q03/report.md,cumcm/generic_baselines/artifacts/2011/C/q03
2011-C,2011,C,4,问题四,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/C/q04/solution.py,cumcm/generic_baselines/results/2011/C/q04/result.json,cumcm/generic_baselines/reports/2011/C/q04/report.md,cumcm/generic_baselines/artifacts/2011/C/q04
2011-D,2011,D,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/D/q01/solution.py,cumcm/generic_baselines/results/2011/D/q01/result.json,cumcm/generic_baselines/reports/2011/D/q01/report.md,cumcm/generic_baselines/artifacts/2011/D/q01
2011-D,2011,D,2,问题 2,linear_programming,cumcm/generic_baselines/solutions/2011/D/q02/solution.py,cumcm/generic_baselines/results/2011/D/q02/result.json,cumcm/generic_baselines/reports/2011/D/q02/report.md,cumcm/generic_baselines/artifacts/2011/D/q02
2011-D,2011,D,3,问题 3,binomial_sampling_design,cumcm/generic_baselines/solutions/2011/D/q03/solution.py,cumcm/generic_baselines/results/2011/D/q03/result.json,cumcm/generic_baselines/reports/2011/D/q03/report.md,cumcm/generic_baselines/artifacts/2011/D/q03
2011-D,2011,D,4,问题 4,quadratic_least_squares,cumcm/generic_baselines/solutions/2011/D/q04/solution.py,cumcm/generic_baselines/results/2011/D/q04/result.json,cumcm/generic_baselines/reports/2011/D/q04/report.md,cumcm/generic_baselines/artifacts/2011/D/q04
2011-D,2011,D,5,问题 5,linear_programming,cumcm/generic_baselines/solutions/2011/D/q05/solution.py,cumcm/generic_baselines/results/2011/D/q05/result.json,cumcm/generic_baselines/reports/2011/D/q05/report.md,cumcm/generic_baselines/artifacts/2011/D/q05
2014-A,2014,A,1,问题 1,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2014/A/q01/solution.py,cumcm/generic_baselines/results/2014/A/q01/result.json,cumcm/generic_baselines/reports/2014/A/q01/report.md,cumcm/generic_baselines/artifacts/2014/A/q01
2014-A,2014,A,2,问题 2,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2014/A/q02/solution.py,cumcm/generic_baselines/results/2014/A/q02/result.json,cumcm/generic_baselines/reports/2014/A/q02/report.md,cumcm/generic_baselines/artifacts/2014/A/q02
2014-A,2014,A,3,问题 3,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2014/A/q03/solution.py,cumcm/generic_baselines/results/2014/A/q03/result.json,cumcm/generic_baselines/reports/2014/A/q03/report.md,cumcm/generic_baselines/artifacts/2014/A/q03
2014-B,2014,B,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2014/B/q01/solution.py,cumcm/generic_baselines/results/2014/B/q01/result.json,cumcm/generic_baselines/reports/2014/B/q01/report.md,cumcm/generic_baselines/artifacts/2014/B/q01
2014-B,2014,B,2,问题 2,linear_programming,cumcm/generic_baselines/solutions/2014/B/q02/solution.py,cumcm/generic_baselines/results/2014/B/q02/result.json,cumcm/generic_baselines/reports/2014/B/q02/report.md,cumcm/generic_baselines/artifacts/2014/B/q02
