source_sdg,target_sdg,weight,relationship,sign
1,2,0.72,poverty reduction improves food security,positive
1,3,0.66,income access improves health,positive
1,4,0.6,poverty reduction keeps children in school,positive
1,8,0.63,poverty and decent work reinforce each other,positive
1,10,0.74,poverty reduction reduces inequality,positive
2,3,0.69,nutrition improves health,positive
2,6,0.54,water quality supports food systems,positive
2,12,0.5,sustainable consumption affects food systems,positive
2,15,0.55,land ecosystems support agriculture,positive
3,4,0.58,health improves learning,positive
3,5,0.47,health access affects gender outcomes,positive
3,6,0.61,clean water reduces disease,positive
3,11,0.45,urban design affects health,positive
4,5,0.7,education promotes gender equality,positive
4,8,0.62,skills support employment,positive
4,9,0.48,education supports innovation,positive
4,16,0.42,education supports institutions,positive
5,8,0.52,gender equality expands labor participation,positive
5,10,0.66,gender equity reduces inequality,positive
6,11,0.55,water and sanitation support cities,positive
6,14,0.52,water treatment protects oceans,positive
6,15,0.46,water systems support terrestrial ecosystems,positive
7,8,0.59,energy access supports economic activity,positive
7,9,0.67,energy and infrastructure co-develop,positive
7,12,0.5,clean energy supports responsible production,positive
7,13,0.71,clean energy mitigates climate change,positive
8,9,0.56,economic growth supports infrastructure,positive
8,10,0.44,inclusive growth reduces inequality,positive
8,12,-0.32,growth can increase resource pressure without safeguards,negative
9,11,0.58,infrastructure supports sustainable cities,positive
9,13,0.38,innovation can support climate mitigation,positive
10,11,0.49,reduced inequality improves urban inclusion,positive
10,16,0.53,less inequality supports stable institutions,positive
11,12,0.51,cities drive consumption systems,positive
11,13,0.46,urban resilience supports climate action,positive
12,13,0.57,responsible production reduces emissions,positive
12,14,0.62,waste reduction protects oceans,positive
12,15,0.6,resource stewardship protects land,positive
13,14,0.64,climate action protects oceans,positive
13,15,0.66,climate action protects land,positive
14,15,0.37,ecosystem protection has cross-biome spillovers,positive
16,17,0.76,institutions enable partnerships,positive
17,1,0.5,partnerships finance poverty programs,positive
17,6,0.46,partnerships support water projects,positive
17,13,0.52,partnerships coordinate climate action,positive
