problem_id,year,code,question,question_index,question_label,method,solution_path,result_path,report_path,artifact_dir,real_solution_path
2015-C,2015,C,q01,01,ICM 组织人力资本网络模型,network_path_baseline,mcm/generic_baselines/solutions/2015/C/q01/solution.py,mcm/generic_baselines/results/2015/C/q01/result.json,mcm/generic_baselines/reports/2015/C/q01/report.md,mcm/generic_baselines/artifacts/2015/C/q01,question_solutions/2015/C/q01/solution.py
2015-C,2015,C,q02,02,组织流失动态过程与生产率影响,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2015/C/q02/solution.py,mcm/generic_baselines/results/2015/C/q02/result.json,mcm/generic_baselines/reports/2015/C/q02/report.md,mcm/generic_baselines/artifacts/2015/C/q02,question_solutions/2015/C/q02/solution.py
2015-C,2015,C,q03,03,未来两年招聘与培训预算,resource_allocation_baseline,mcm/generic_baselines/solutions/2015/C/q03/solution.py,mcm/generic_baselines/results/2015/C/q03/result.json,mcm/generic_baselines/reports/2015/C/q03/report.md,mcm/generic_baselines/artifacts/2015/C/q03,question_solutions/2015/C/q03/solution.py
2015-C,2015,C,q04,04,25% 与 35% 年流失率下的 80% 填补率可持续性,resource_allocation_baseline,mcm/generic_baselines/solutions/2015/C/q04/solution.py,mcm/generic_baselines/results/2015/C/q04/result.json,mcm/generic_baselines/reports/2015/C/q04/report.md,mcm/generic_baselines/artifacts/2015/C/q04,question_solutions/2015/C/q04/solution.py
2015-C,2015,C,q05,05,中层 30% 流失、无外部招聘与内部晋升情景,evidence_table_baseline,mcm/generic_baselines/solutions/2015/C/q05/solution.py,mcm/generic_baselines/results/2015/C/q05/result.json,mcm/generic_baselines/reports/2015/C/q05/report.md,mcm/generic_baselines/artifacts/2015/C/q05,question_solutions/2015/C/q05/solution.py
2015-C,2015,C,q06,06,团队科学与多层组织网络扩展,network_path_baseline,mcm/generic_baselines/solutions/2015/C/q06/solution.py,mcm/generic_baselines/results/2015/C/q06/result.json,mcm/generic_baselines/reports/2015/C/q06/report.md,mcm/generic_baselines/artifacts/2015/C/q06,question_solutions/2015/C/q06/solution.py
2015-C,2015,C,q07,07,20 页报告与执行摘要,report_outline_baseline,mcm/generic_baselines/solutions/2015/C/q07/solution.py,mcm/generic_baselines/results/2015/C/q07/result.json,mcm/generic_baselines/reports/2015/C/q07/report.md,mcm/generic_baselines/artifacts/2015/C/q07,question_solutions/2015/C/q07/solution.py
2015-D,2015,D,q01,01,国家可持续性评价模型,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2015/D/q01/solution.py,mcm/generic_baselines/results/2015/D/q01/result.json,mcm/generic_baselines/reports/2015/D/q01/report.md,mcm/generic_baselines/artifacts/2015/D/q01,question_solutions/2015/D/q01/solution.py
2015-D,2015,D,q02,02,LDC 20 年可持续发展计划,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2015/D/q02/solution.py,mcm/generic_baselines/results/2015/D/q02/result.json,mcm/generic_baselines/reports/2015/D/q02/report.md,mcm/generic_baselines/artifacts/2015/D/q02,question_solutions/2015/D/q02/solution.py
2015-D,2015,D,q03,03,20 年计划影响评估与最高性价比政策,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2015/D/q03/solution.py,mcm/generic_baselines/results/2015/D/q03/result.json,mcm/generic_baselines/reports/2015/D/q03/report.md,mcm/generic_baselines/artifacts/2015/D/q03,question_solutions/2015/D/q03/solution.py
2015-D,2015,D,q04,04,20 页报告、模型优缺点与 ICM 投资建议,report_outline_baseline,mcm/generic_baselines/solutions/2015/D/q04/solution.py,mcm/generic_baselines/results/2015/D/q04/result.json,mcm/generic_baselines/reports/2015/D/q04/report.md,mcm/generic_baselines/artifacts/2015/D/q04,question_solutions/2015/D/q04/solution.py
2016-A,2016,A,q01,01,浴缸水温空间-时间模型与加热水策略,resource_allocation_baseline,mcm/generic_baselines/solutions/2016/A/q01/solution.py,mcm/generic_baselines/results/2016/A/q01/result.json,mcm/generic_baselines/reports/2016/A/q01/report.md,mcm/generic_baselines/artifacts/2016/A/q01,question_solutions/2016/A/q01/solution.py
2016-A,2016,A,q02,02,浴缸形状、体积、人体和动作敏感性,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2016/A/q02/solution.py,mcm/generic_baselines/results/2016/A/q02/result.json,mcm/generic_baselines/reports/2016/A/q02/report.md,mcm/generic_baselines/artifacts/2016/A/q02,question_solutions/2016/A/q02/solution.py
2016-A,2016,A,q03,03,泡泡浴添加剂对结果的影响,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/A/q03/solution.py,mcm/generic_baselines/results/2016/A/q03/result.json,mcm/generic_baselines/reports/2016/A/q03/report.md,mcm/generic_baselines/artifacts/2016/A/q03,question_solutions/2016/A/q03/solution.py
2016-A,2016,A,q04,04,给浴缸用户的一页非技术说明,report_outline_baseline,mcm/generic_baselines/solutions/2016/A/q04/solution.py,mcm/generic_baselines/results/2016/A/q04/result.json,mcm/generic_baselines/reports/2016/A/q04/report.md,mcm/generic_baselines/artifacts/2016/A/q04,question_solutions/2016/A/q04/solution.py
2016-B,2016,B,q01,01,时间相关商业机会模型,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/B/q01/solution.py,mcm/generic_baselines/results/2016/B/q01/result.json,mcm/generic_baselines/reports/2016/B/q01/report.md,mcm/generic_baselines/artifacts/2016/B/q01,question_solutions/2016/B/q01/solution.py
2016-B,2016,B,q02,02,成本、风险、收益与重要因素估计,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/B/q02/solution.py,mcm/generic_baselines/results/2016/B/q02/result.json,mcm/generic_baselines/reports/2016/B/q02/report.md,mcm/generic_baselines/artifacts/2016/B/q02,question_solutions/2016/B/q02/solution.py
2016-B,2016,B,q03,03,独立方案、组合方案与 what-if 情景,resource_allocation_baseline,mcm/generic_baselines/solutions/2016/B/q03/solution.py,mcm/generic_baselines/results/2016/B/q03/result.json,mcm/generic_baselines/reports/2016/B/q03/report.md,mcm/generic_baselines/artifacts/2016/B/q03,question_solutions/2016/B/q03/solution.py
2016-B,2016,B,q04,04,商业建议与两页执行摘要,report_outline_baseline,mcm/generic_baselines/solutions/2016/B/q04/solution.py,mcm/generic_baselines/results/2016/B/q04/result.json,mcm/generic_baselines/reports/2016/B/q04/report.md,mcm/generic_baselines/artifacts/2016/B/q04,question_solutions/2016/B/q04/solution.py
2016-D,2016,D,q01,01,信息流与新闻筛选模型,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/D/q01/solution.py,mcm/generic_baselines/results/2016/D/q01/result.json,mcm/generic_baselines/reports/2016/D/q01/report.md,mcm/generic_baselines/artifacts/2016/D/q01,question_solutions/2016/D/q01/solution.py
2016-D,2016,D,q02,02,历史事件到今日传播的结构验证,linear_trend_forecast_baseline,mcm/generic_baselines/solutions/2016/D/q02/solution.py,mcm/generic_baselines/results/2016/D/q02/result.json,mcm/generic_baselines/reports/2016/D/q02/report.md,mcm/generic_baselines/artifacts/2016/D/q02,question_solutions/2016/D/q02/solution.py
2016-D,2016,D,q03,03,2050 通信网络关系与容量预测,linear_trend_forecast_baseline,mcm/generic_baselines/solutions/2016/D/q03/solution.py,mcm/generic_baselines/results/2016/D/q03/result.json,mcm/generic_baselines/reports/2016/D/q03/report.md,mcm/generic_baselines/artifacts/2016/D/q03,question_solutions/2016/D/q03/solution.py
2016-D,2016,D,q04,04,公众兴趣与观点影响模型,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/D/q04/solution.py,mcm/generic_baselines/results/2016/D/q04/result.json,mcm/generic_baselines/reports/2016/D/q04/report.md,mcm/generic_baselines/artifacts/2016/D/q04,question_solutions/2016/D/q04/solution.py
2016-D,2016,D,q05,05,信息价值、偏见、来源和拓扑强度敏感性,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2016/D/q05/solution.py,mcm/generic_baselines/results/2016/D/q05/result.json,mcm/generic_baselines/reports/2016/D/q05/report.md,mcm/generic_baselines/artifacts/2016/D/q05,question_solutions/2016/D/q05/solution.py
2016-F,2016,F,q01,01,难民危机指标体系,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/F/q01/solution.py,mcm/generic_baselines/results/2016/F/q01/result.json,mcm/generic_baselines/reports/2016/F/q01/report.md,mcm/generic_baselines/artifacts/2016/F/q01,question_solutions/2016/F/q01/solution.py
