rider,rider_type,gender_profile,course,segment,distance_km,grade,turns,wind_mps,target_power_w,speed_kph,segment_time_s,energy_kj
male time trial specialist,time trial specialist,male,2021 Olympic Time Trial course in Tokyo,Fuji Speedway exit,7.2,0.01,3,0.0,366.42,44.579,588.36,215.59
male time trial specialist,time trial specialist,male,2021 Olympic Time Trial course in Tokyo,rolling approach,9.6,0.028,2,0.0,397.17,37.906,916.33,363.94
male time trial specialist,time trial specialist,male,2021 Olympic Time Trial course in Tokyo,technical descent,8.1,-0.018,5,0.0,363.12,58.407,510.78,185.47
male time trial specialist,time trial specialist,male,2021 Olympic Time Trial course in Tokyo,speedway return,6.7,0.004,4,0.0,373.12,47.885,512.93,191.38
male time trial specialist,time trial specialist,male,2021 UCI World Championship time trial course in Flanders,coastal flats,10.4,0.002,3,0.0,353.03,47.87,789.03,278.55
male time trial specialist,time trial specialist,male,2021 UCI World Championship time trial course in Flanders,open crosswind sector,12.8,0.004,4,0.0,364.44,47.447,980.41,357.3
male time trial specialist,time trial specialist,male,2021 UCI World Championship time trial course in Flanders,urban approach,8.3,0.006,7,0.0,383.28,47.408,646.4,247.75
male time trial specialist,time trial specialist,male,2021 UCI World Championship time trial course in Flanders,finish boulevards,6.1,-0.001,3,0.0,362.55,49.86,447.35,162.19
male time trial specialist,time trial specialist,male,custom technical loop with four sharp turns and a nontrivial road grade,start straight,4.8,0.0,1,0.0,342.24,48.336,359.8,123.14
male time trial specialist,time trial specialist,male,custom technical loop with four sharp turns and a nontrivial road grade,sharp-turn climb,5.4,0.052,4,0.0,443.7,31.222,631.85,280.36
male time trial specialist,time trial specialist,male,custom technical loop with four sharp turns and a nontrivial road grade,ridge wind sector,6.2,0.018,2,0.0,382.6,41.614,540.97,206.98
male time trial specialist,time trial specialist,male,custom technical loop with four sharp turns and a nontrivial road grade,technical descent,5.6,-0.036,5,0.0,361.53,67.08,312.06,112.82
male time trial specialist,time trial specialist,male,custom technical loop with four sharp turns and a nontrivial road grade,return to start,4.9,-0.004,2,0.0,358.38,51.171,349.33,125.2
female time trial specialist,time trial specialist,female,2021 Olympic Time Trial course in Tokyo,Fuji Speedway exit,7.2,0.01,3,0.0,281.71,41.837,626.29,176.43
female time trial specialist,time trial specialist,female,2021 Olympic Time Trial course in Tokyo,rolling approach,9.6,0.028,2,0.0,305.35,35.519,977.49,298.48
female time trial specialist,time trial specialist,female,2021 Olympic Time Trial course in Tokyo,technical descent,8.1,-0.018,5,0.0,279.17,54.927,542.14,151.35
