problem_id,year,code,question,title,statement,methods,source_type,solution_path,result_path,report_path,artifact_path
2015-C,2015,C,q01,ICM 组织人力资本网络模型,Build a human capital network model of the personnel situation at ICM using the provided data. You may have to make bold assumptions to build the model; be sure to describe the model and your assumptions.,只使用官方题面中的 370 个岗位、46 个 7 人部门、12 个 4 人办公室、85% 填补率、8%-10% 主动招聘范围和岗位层级表；构造层级、工作单元、流失影响、培训依赖四层人力资本网络。对应模型：多层网络、组织结构图建模、多指标 HR 健康指数。,official_statement_parameters,question_solutions/2015/C/q01/solution.py,question_results/2015/C/q01/result.json,question_reports/2015/C/q01/report.md,question_artifacts/2015/C/q01/workforce_level_table.csv
2015-C,2015,C,q02,组织流失动态过程与生产率影响,Use your model to identify dynamic processes within the human capital network. Describe and incorporate dynamic processes involved in organizational churn and the effect of churn on organizational productivity.,把官方 18% 年流失率和中层高流失描述转化为确定性层级流失风险，叠加网络影响、职业阻塞和 salary-sigma 加权生产率损失；所有非题面系数写入 assumption_audit。对应模型：Markov 人员流动、网络影响扩散、生产率损失函数。,official_statement_parameters,question_solutions/2015/C/q02/solution.py,question_results/2015/C/q02/result.json,question_reports/2015/C/q02/report.md,question_artifacts/2015/C/q02/workforce_level_table.csv
2015-C,2015,C,q03,未来两年招聘与培训预算,Use your model to analyze the organization's budget needs for talent management in sigma for the next two years of hiring and training.,按官方每层招聘时间、招聘成本、人数、工资和年度培训成本，计算两年内替换预计离职人员并恢复 15% 空缺所需的招聘 sigma、培训 sigma 和总 sigma。对应模型：预算预测、招聘容量模型、培训成本模型。,official_statement_parameters,question_solutions/2015/C/q03/solution.py,question_results/2015/C/q03/result.json,question_reports/2015/C/q03/report.md,question_artifacts/2015/C/q03/two_year_budget.csv
2015-C,2015,C,q04,25% 与 35% 年流失率下的 80% 填补率可持续性,Can ICM maintain its 80% filled positions if annual turnover for all positions increases to 25%? What about 35%? What are the costs of these higher turnover rates? What indirect effects might high turnover cause?,把题面 8%-10% 主动招聘范围转成可审计招聘吞吐量，比较 18%、25%、35% 年流失下的离职负荷、第一年填补率和间接成本。对应模型：稳态容量约束、人员库存模型、敏感性分析。,official_statement_parameters,question_solutions/2015/C/q04/solution.py,question_results/2015/C/q04/result.json,question_reports/2015/C/q04/report.md,question_artifacts/2015/C/q04/turnover_scenarios.csv
2015-C,2015,C,q05,中层 30% 流失、无外部招聘与内部晋升情景,"Simulate the effect of 30% of both junior managers and experienced supervisors leaving, with no external recruiting and with only qualified employees promoted over the next two years. Explain the effect on organizational HR health.",对 junior managers 和 experienced supervisors 施加官方要求的 30% 流失冲击，比较无外部招聘与资深主管/初级主管/资深员工内部晋升链；晋升池比例为显式假设。对应模型：晋升链仿真、岗位替补模型、瓶颈分析。,official_statement_parameters,question_solutions/2015/C/q05/solution.py,question_results/2015/C/q05/result.json,question_reports/2015/C/q05/report.md,question_artifacts/2015/C/q05/promotion_shock_projection.csv
2015-C,2015,C,q06,团队科学与多层组织网络扩展,"Summarize the potential use of team science and multilayer networks to realize the HR manager's vision of connecting the human capital network to information flow, trust, influence, and friendship layers.",把人力资本网络扩展为信息流、信任、影响力、友谊和培训依赖的 multiplex 网络，用跨层中心性识别关键员工和关键岗位。对应模型：团队科学、多层网络、multiplex centrality、组织网络分析。,official_statement_parameters,question_solutions/2015/C/q06/solution.py,question_results/2015/C/q06/result.json,question_reports/2015/C/q06/report.md,question_artifacts/2015/C/q06/workforce_level_table.csv
2015-C,2015,C,q07,20 页报告与执行摘要,"Write a 20-page report introducing your organizational model, its functions, and the issues the manager asked you to consider. A one-page executive summary does not count toward the page limit.",把官方题面参数、网络模型、流失动态、两年预算、25%/35% 情景、中层 30% 冲击和团队科学路线图整理为 HR 经理可读报告。对应模型：实验报告、执行摘要、政策备忘录、模型限制说明。,official_statement_parameters,question_solutions/2015/C/q07/solution.py,question_results/2015/C/q07/result.json,question_reports/2015/C/q07/report.md,question_artifacts/2015/C/q07/human_capital_health.png
2015-D,2015,D,q01,国家可持续性评价模型,"Develop a model for the sustainability of a country. This model should provide a measure to distinguish more sustainable countries and policies from less sustainable ones, and clearly define when and how a country is sustainable or unsustainable.",使用 COMAP 官方 PDF 和题面推荐的 World Bank Data，读取 Nepal 的人口、GDP/人、极端贫困、清洁水、用电、森林、卫生设施等缓存指标，构造 0-1 加权可持续性指数。对应模型：多指标综合评价、可持续发展指标、阈值分类。,official_pdf_and_world_bank_csv,question_solutions/2015/D/q01/solution.py,question_results/2015/D/q01/result.json,question_reports/2015/D/q01/report.md,question_artifacts/2015/D/q01/sustainability_index_components.csv
2015-D,2015,D,q02,LDC 20 年可持续发展计划,"Select a country from the United Nations list of the 48 Least Developed Countries. Using your model and research from Task 1, create a 20 year sustainable development plan for your selected LDC country.",选定 Nepal 作为 LDC 示例，基于 World Bank 基线指标设计清洁水和卫生、分布式清洁能源、气候韧性农业、教育与生计、森林和灾害风险管理五类 20 年项目。对应模型：情景规划、多目标规划、项目组合设计。,official_pdf_and_world_bank_csv,question_solutions/2015/D/q02/solution.py,question_results/2015/D/q02/result.json,question_reports/2015/D/q02/report.md,question_artifacts/2015/D/q02/development_plan.csv
2015-D,2015,D,q03,20 年计划影响评估与最高性价比政策,Evaluate the effect your 20-year sustainability plan has on your country's sustainability measure. Determine which programs or policies produce the greatest effect on the sustainability measure for your country.,把项目年度增益作为显式规划假设累积到各组件分数，计算 20 年后总分、状态变化，并用 score gain per billion USD 排序。对应模型：系统动力学、成本效益分析、项目效率排序。,official_pdf_and_world_bank_csv,question_solutions/2015/D/q03/solution.py,question_results/2015/D/q03/result.json,question_reports/2015/D/q03/report.md,question_artifacts/2015/D/q03/policy_efficiency.csv
