year,code,problem_id,title,core,question_count,recommended_models,problem_path,solution_path,result_path,report_path
2010,A,2010-A,2010年 CUMCM A题：储油罐的变位识别与罐容表标定,本题核心是把 `2010年 CUMCM A题：储油罐的变位识别与罐容表标定` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、机器学习与统计、微分方程与动力系统 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：为了掌握罐体变位后对罐容表的影响，利用如图4的小椭圆型储油罐（两端平头的椭圆柱体），分别对罐体无变位和倾斜角为α=4.10的纵向变位两种情况做了实验，实验数据如附件1所示。请建立数学模型研究罐体变位后对罐容表的影响，并给出罐体变位后油位高度,2,机器学习与统计(CH9)；几何与方程模型(CH1)；微分方程与动力系统(CH2)；数据处理与拟合(CH6),cumcm/problems/2010/A.md,cumcm/solutions/2010/A/solution.py,cumcm/results/2010/A/result.json,cumcm/reports/2010/A/report.md
2010,B,2010-B,2010年 CUMCM B题：2010年上海世博会影响力的定量评估,本题核心是把 `2010年 CUMCM B题：2010年上海世博会影响力的定量评估` 的业务场景转化为可计算的数学模型，重点围绕 数据处理与拟合、评价与决策模型、时间序列模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：2010年上海世博会是首次在中国举办的世界博览会。从1851年伦敦的“万国工业博览会”开始，世博会正日益成为各国人民交流历史文化、展示科技成果、体现合作精神、展望未来发展等的重要舞台。请你们选择感兴趣的某个侧面，建立数学模型，利用互联网数据,1,评价与决策模型(CH7)；数据处理与拟合(CH6)；时间序列模型(CH8)；规划优化模型(CH3),cumcm/problems/2010/B.md,cumcm/solutions/2010/B/solution.py,cumcm/results/2010/B/result.json,cumcm/reports/2010/B/report.md
2010,C,2010-C,2010年 CUMCM C题：输油管的布置,本题核心是把 `2010年 CUMCM C题：输油管的布置` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：针对两炼油厂到铁路线距离和两炼油厂间距离的各种不同情形，提出你的设计方案。在方案设计时，若有共用管线，应考虑共用管线费用与非共用管线费用相同或不同的情形。,3,规划优化模型(CH3)；评价与决策模型(CH7)；数据处理与拟合(CH6)；图像文本与信号(CH10),cumcm/problems/2010/C.md,cumcm/solutions/2010/C/solution.py,cumcm/results/2010/C/result.json,cumcm/reports/2010/C/report.md
2010,D,2010-D,2010年 CUMCM D题：对学生宿舍设计方案的评价,本题核心是把 `2010年 CUMCM D题：对学生宿舍设计方案的评价` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、评价与决策模型、机器学习与统计 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：附件是四种比较典型的学生宿舍的设计方案。请你们用数学建模的方法就它们的经济性、舒适性和安全性作出综合量化评价和比较,1,规划优化模型(CH3)；评价与决策模型(CH7)；机器学习与统计(CH9)；数据处理与拟合(CH6),cumcm/problems/2010/D.md,cumcm/solutions/2010/D/solution.py,cumcm/results/2010/D/result.json,cumcm/reports/2010/D/report.md
2011,A,2011-A,2011年 CUMCM A题：城市表层土壤重金属污染分析,本题核心是把 `2011年 CUMCM A题：城市表层土壤重金属污染分析` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、数据处理与拟合、评价与决策模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：给出8种主要重金属元素在该城区的空间分布，并分析该城区内不同区域重金属的污染程度。,4,几何与方程模型(CH1)；规划优化模型(CH3)；数据处理与拟合(CH6)；评价与决策模型(CH7),cumcm/problems/2011/A.md,cumcm/solutions/2011/A/solution.py,cumcm/results/2011/A/result.json,cumcm/reports/2011/A/report.md
2011,B,2011-B,2011年 CUMCM B题：交巡警服务平台的设置与调度,本题核心是把 `2011年 CUMCM B题：交巡警服务平台的设置与调度` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、图论与复杂网络、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：附件1中的附图1给出了该市中心城区A的交通网络和现有的20个交巡警服务平台的设置情况示意图，相关的数据信息见附件2。请为各交巡警服务平台分配管辖范围，使其在所管辖的范围内出现突发事件时，尽量能在3分钟内有交巡警（警车的时速为60km/h）到,2,规划优化模型(CH3)；图论与复杂网络(CH4)；评价与决策模型(CH7)；数据处理与拟合(CH6),cumcm/problems/2011/B.md,cumcm/solutions/2011/B/solution.py,cumcm/results/2011/B/result.json,cumcm/reports/2011/B/report.md
2011,C,2011-C,2011年 CUMCM C题：企业退休职工养老金制度的改革,本题核心是把 `2011年 CUMCM C题：企业退休职工养老金制度的改革` 的业务场景转化为可计算的数学模型，重点围绕 数据处理与拟合、时间序列模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：对未来中国经济发展和工资增长的形势做出你认为是简化、合理的假设，并参考附件1，预测从2011年至2035年的山东省职工的年平均工资。,4,数据处理与拟合(CH6)；时间序列模型(CH8)；评价与决策模型(CH7)；规划优化模型(CH3),cumcm/problems/2011/C.md,cumcm/solutions/2011/C/solution.py,cumcm/results/2011/C/result.json,cumcm/reports/2011/C/report.md
2011,D,2011-D,2011年 CUMCM D题：天然肠衣搭配,本题核心是把 `2011年 CUMCM D题：天然肠衣搭配` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：对于给定的一批原料，装出的成品捆数越多越好；,5,规划优化模型(CH3)；数据处理与拟合(CH6)；评价与决策模型(CH7)；图像文本与信号(CH10),cumcm/problems/2011/D.md,cumcm/solutions/2011/D/solution.py,cumcm/results/2011/D/result.json,cumcm/reports/2011/D/report.md
2014,A,2014-A,2014年 CUMCM A题：嫦娥三号软着陆轨道设计与控制策略,本题核心是把 `2014年 CUMCM A题：嫦娥三号软着陆轨道设计与控制策略` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：确定着陆准备轨道近月点和远月点的位置，以及嫦娥三号相应速度的大小与方向。,3,几何与方程模型(CH1)；规划优化模型(CH3)；评价与决策模型(CH7)；数据处理与拟合(CH6),cumcm/problems/2014/A.md,cumcm/solutions/2014/A/solution.py,cumcm/results/2014/A/result.json,cumcm/reports/2014/A/report.md
2014,B,2014-B,2014年 CUMCM B题：创意平板折叠桌,本题核心是把 `2014年 CUMCM B题：创意平板折叠桌` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、几何与方程模型、微分方程与动力系统 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：给定长方形平板尺寸为120 cm × 50 cm × 3 cm，每根木条宽2.5 cm，连接桌腿木条的钢筋固定在桌腿最外侧木条的中心位置，折叠后桌子的高度为53 cm。试建立模型描述此折叠桌的动态变化过程，在此基础上给出此折叠桌的设计加工参,3,微分方程与动力系统(CH2)；规划优化模型(CH3)；数据处理与拟合(CH6)；几何与方程模型(CH1),cumcm/problems/2014/B.md,cumcm/solutions/2014/B/solution.py,cumcm/results/2014/B/result.json,cumcm/reports/2014/B/report.md
2014,C,2014-C,2014年 CUMCM C题：生猪养殖场的经营管理,本题核心是把 `2014年 CUMCM C题：生猪养殖场的经营管理` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、数据处理与拟合、几何与方程模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：已知从母猪配种到所产的猪仔长成肉猪出栏需要约9个月时间。假设该养猪场估计9个月后三年内生猪价格变化的预测曲线如图2所示，请根据此价格预测确定该养猪场的最佳经营策略，计算这三年内的平均年利润，并给出在此策略下的母猪及肉猪存栏数曲线,1,微分方程与动力系统(CH2)；数据处理与拟合(CH6)；规划优化模型(CH3)；几何与方程模型(CH1),cumcm/problems/2014/C.md,cumcm/solutions/2014/C/solution.py,cumcm/results/2014/C/result.json,cumcm/reports/2014/C/report.md
2014,D,2014-D,2014年 CUMCM D题：储药柜的设计,本题核心是把 `2014年 CUMCM D题：储药柜的设计` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：药房内的盒装药品种类繁多，药盒尺寸规格差异较大，附件1中给出了一些药盒的规格。请利用附件1的数据，给出竖向隔板间距类型最少的储药柜设计方案，包括类型的数量和每种类型所对应的药盒规格。,4,规划优化模型(CH3)；数据处理与拟合(CH6)；评价与决策模型(CH7)；图像文本与信号(CH10),cumcm/problems/2014/D.md,cumcm/solutions/2014/D/solution.py,cumcm/results/2014/D/result.json,cumcm/reports/2014/D/report.md
2015,A,2015-A,2015年 CUMCM A题：太阳影子定位,"本题核心是把 `2015年 CUMCM A题：太阳影子定位` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、微分方程与动力系统、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：建立影子长度变化的数学模型，分析影子长度关于各个参数的变化规律，并应用你们建立的模型画出2015年10月22日北京时间9:00-15:00之间天安门广场（北纬39度54分26秒,东经116度23分29秒）3米高的直杆的太阳影子长度的变化曲线",4,微分方程与动力系统(CH2)；图像文本与信号(CH10)；几何与方程模型(CH1)；数据处理与拟合(CH6),cumcm/problems/2015/A.md,cumcm/solutions/2015/A/solution.py,cumcm/results/2015/A/result.json,cumcm/reports/2015/A/report.md
