scenario,era,hours,awareness_share,information_value,source_credibility
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,1,0.032325,0.34,0.42
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,3,0.087722,0.34,0.42
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,6,0.151954,0.34,0.42
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,12,0.233426,0.34,0.42
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,24,0.300528,0.34,0.42
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,48,0.325363,0.34,0.42
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,72,0.327415,0.34,0.42
taylor_swift_engagement_rumor_if_1860,1870s_telegraph_train_newspaper,168,0.3276,0.34,0.42
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,1,0.049491,1.0,0.92
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,3,0.127172,1.0,0.92
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,6,0.204977,1.0,0.92
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,12,0.281701,1.0,0.92
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,24,0.321169,1.0,0.92
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,48,0.327474,1.0,0.92
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,72,0.327598,1.0,0.92
lincoln_assassination_historical_proxy,1870s_telegraph_train_newspaper,168,0.3276,1.0,0.92
important_person_assassinated_today,2010s_smartphone,1,0.550019,1.0,0.95
important_person_assassinated_today,2010s_smartphone,3,0.8366,1.0,0.95
important_person_assassinated_today,2010s_smartphone,6,0.881816,1.0,0.95
important_person_assassinated_today,2010s_smartphone,12,0.884392,1.0,0.95
important_person_assassinated_today,2010s_smartphone,24,0.8844,1.0,0.95
important_person_assassinated_today,2010s_smartphone,48,0.8844,1.0,0.95
important_person_assassinated_today,2010s_smartphone,72,0.8844,1.0,0.95
important_person_assassinated_today,2010s_smartphone,168,0.8844,1.0,0.95
celebrity_rumor_today,2010s_smartphone,1,0.40727,0.34,0.44
celebrity_rumor_today,2010s_smartphone,3,0.745529,0.34,0.44
celebrity_rumor_today,2010s_smartphone,6,0.862594,0.34,0.44
celebrity_rumor_today,2010s_smartphone,12,0.883862,0.34,0.44
celebrity_rumor_today,2010s_smartphone,24,0.8844,0.34,0.44
celebrity_rumor_today,2010s_smartphone,48,0.8844,0.34,0.44
celebrity_rumor_today,2010s_smartphone,72,0.8844,0.34,0.44
celebrity_rumor_today,2010s_smartphone,168,0.8844,0.34,0.44
